Date;nnav;ttav;ffav;wwav
17.06.2016;6;18,125;10;21
18.06.2016;6;18;12;21
19.06.2016;7;16;14;NULL
20.06.2016;4;20,875;10;61
21.06.2016;4;19,875;9;NULL
22.06.2016;5;22,125;9;61
23.06.2016;5;27,875;8;NULL
24.06.2016;5;24,125;9;NULL
25.06.2016;7;18,25;14;95
26.06.2016;5;19,25;11;0
27.06.2016;7;19,375;10;61
28.06.2016;4;18,375;11;21
29.06.2016;5;18,75;9;21
30.06.2016;7;18,25;9;61
01.07.2016;8;19,25;7;63
02.07.2016;7;15,625;12;61
03.07.2016;4;17,125;12;61
04.07.2016;6;17,25;10;61
05.07.2016;7;17,125;10;95
06.07.2016;5;16,5;22;21
07.07.2016;6;18,25;11;21
08.07.2016;6;19,125;8;63
09.07.2016;5;19,125;12;NULL
10.07.2016;6;24,125;8;NULL
11.07.2016;6;20;13;21
12.07.2016;4;19,125;14;95
13.07.2016;6;16,375;6;63
14.07.2016;7;16,375;12;53
15.07.2016;7;17;16;61
16.07.2016;7;18;10;61
17.07.2016;7;17,25;9;61
18.07.2016;7;18,5;15;21
19.07.2016;6;22,375;12;20
20.07.2016;0;26;9;NULL
21.07.2016;3;25,875;8;NULL
22.07.2016;3;26;6;21
23.07.2016;3;25,375;9;NULL
24.07.2016;0;25,25;10;NULL
25.07.2016;4;25,375;7;95
26.07.2016;3;21,875;9;20
27.07.2016;4;21,375;6;NULL
28.07.2016;4;21,25;7;20
29.07.2016;6;21;10;65
30.07.2016;4;19,625;10;65
31.07.2016;7;17,375;6;61
01.08.2016;3;18,5;14;61
02.08.2016;4;19,75;7;20
03.08.2016;7;19,375;9;61
04.08.2016;6;20,375;11;61
05.08.2016;4;20,5;15;21
06.08.2016;5;17,5;14;95
07.08.2016;6;21,125;13;21
08.08.2016;5;19;18;21
09.08.2016;5;15,375;18;21
10.08.2016;4;14,5;15;95
11.08.2016;7;13,875;9;61
12.08.2016;7;18,25;12;61
13.08.2016;7;18,125;12;61
14.08.2016;6;18,125;12;21
15.08.2016;5;18,625;11;NULL
16.08.2016;2;19,375;10;NULL
17.08.2016;0;19,571428;8;NULL
18.08.2016;3;18,25;9;NULL
19.08.2016;3;20,375;8;NULL
20.08.2016;7;20,25;9;61
21.08.2016;4;19,875;9;21
22.08.2016;7;18,375;10;65
23.08.2016;6;21,75;8;NULL
24.08.2016;0;25,375;6;NULL
25.08.2016;0;28,375;6;NULL
26.08.2016;0;27,75;13;NULL
27.08.2016;0;20,375;8;NULL
28.08.2016;4;21,875;12;63
29.08.2016;3;18,5;15;21
30.08.2016;2;20,25;12;NULL
31.08.2016;0;23,125;6;NULL
01.09.2016;5;20,25;13;21
02.09.2016;4;19,125;8;61
03.09.2016;5;19,25;12;21
04.09.2016;6;19,25;8;61
05.09.2016;0;19,125;12;0
06.09.2016;2;21,75;6;NULL
07.09.2016;0;23,625;6;NULL
08.09.2016;0;25,625;7;NULL
09.09.2016;2;21,375;10;0
10.09.2016;0;23,875;6;NULL
11.09.2016;6;20,875;10;NULL
12.09.2016;0;25,375;8;NULL
13.09.2016;0;27,875;8;NULL
14.09.2016;0;25,25;9;NULL
15.09.2016;0;23,75;13;NULL
16.09.2016;4;22,75;8;0
17.09.2016;5;18,875;14;NULL
18.09.2016;7;16,75;15;21
19.09.2016;7;17;9;NULL
20.09.2016;5;17,5;8;NULL
21.09.2016;3;18,375;10;NULL
22.09.2016;4;18,5;6;NULL
23.09.2016;4;18,625;12;21
24.09.2016;0;18,625;6;NULL
25.09.2016;0;21,375;8;NULL
26.09.2016;4;18,25;6;0
27.09.2016;0;19,875;6;0
28.09.2016;6;19,125;19;NULL
29.09.2016;7;17,375;13;61
30.09.2016;6;14;11;61
01.10.2016;3;15,875;6;NULL
02.10.2016;3;15,75;7;21
03.10.2016;7;14,375;18;61
04.10.2016;5;13,25;16;NULL
05.10.2016;3;12;19;NULL
06.10.2016;7;11,25;17;20
07.10.2016;7;11,125;15;0
08.10.2016;5;11,625;16;NULL
09.10.2016;7;9,125;10;61
10.10.2016;7;11,125;10;61
11.10.2016;7;9,875;20;61
12.10.2016;7;9,75;18;63
13.10.2016;6;10,875;15;0
14.10.2016;7;9,125;13;61
15.10.2016;8;8,625;12;61
16.10.2016;8;11,375;6;10
17.10.2016;8;9,75;6;10
18.10.2016;7;13,25;6;28
19.10.2016;8;7,625;4;61
20.10.2016;7;10,125;10;21
21.10.2016;6;9,875;10;61
22.10.2016;8;8,125;12;61
23.10.2016;7;8,625;4;21
24.10.2016;5;9,25;8;10
25.10.2016;5;9;8;0
26.10.2016;6;7,375;6;10
27.10.2016;7;13,375;9;21
28.10.2016;6;12,75;15;21
29.10.2016;4;11,375;16;20
30.10.2016;4;11;9;5
31.10.2016;7;12,125;6;61
01.11.2016;6;10,125;12;61
02.11.2016;4;7,25;13;21
03.11.2016;4;5,875;5;NULL
04.11.2016;7;7,875;8;61
05.11.2016;7;5,5;5;61
06.11.2016;7;6,625;6;61
07.11.2016;7;3,5;14;61
08.11.2016;7;0,75;14;71
09.11.2016;0;1,25;4;10
10.11.2016;7;4;8;22
11.11.2016;4;4,875;10;21
12.11.2016;3;1,625;6;49
13.11.2016;4;1,375;9;5
14.11.2016;4;2;10;5
15.11.2016;7;7,75;9;61
16.11.2016;7;8,75;11;61
17.11.2016;6;7,75;9;21
18.11.2016;4;7,25;13;21
19.11.2016;6;6,625;11;21
20.11.2016;6;6,375;12;63
21.11.2016;7;11,5;6;61
22.11.2016;7;12,125;7;NULL
23.11.2016;7;10;5;10
24.11.2016;0;4,5;8;10
25.11.2016;7;4;4;45
26.11.2016;7;5,875;10;61
27.11.2016;0;5,625;9;5
