Date;nnav;ttav;ffav;wwav
31.05.2019;7;18,85;14;NULL
01.06.2019;6;19,5625;15;0
02.06.2019;2;24,35;8;NULL
03.06.2019;6;22,225;12;21
04.06.2019;7;16,0625;10;61
05.06.2019;5;22,9125;11;NULL
06.06.2019;6;19,5;13;61
07.06.2019;1;17,45;10;NULL
08.06.2019;7;16,2375;13;61
09.06.2019;5;18,65;10;NULL
10.06.2019;7;16,125;14;61
11.06.2019;6;18,1375;6;95
12.06.2019;7;16,6625;10;95
13.06.2019;0;22,175;11;NULL
14.06.2019;5;22,9;9;95
15.06.2019;7;18,2125;12;95
16.06.2019;6;20,3875;8;0
17.06.2019;3;21,875;9;NULL
18.06.2019;5;25,1125;6;95
19.06.2019;3;25,95;8;17
20.06.2019;6;19,275;8;21
21.06.2019;6;18,1625;11;NULL
22.06.2019;6;17,025;9;5
23.06.2019;1;20,375;12;5
24.06.2019;6;21,875;13;NULL
25.06.2019;3;28,775;7;NULL
26.06.2019;0;26,0375;16;5
27.06.2019;6;17,175;14;NULL
28.06.2019;1;20,225;7;NULL
29.06.2019;0;24,0375;8;0
30.06.2019;0;27,3375;19;5
01.07.2019;5;20,25;20;0
02.07.2019;6;15,1875;18;21
03.07.2019;5;16,5;13;21
04.07.2019;7;15,9625;15;61
05.07.2019;7;15,7375;13;61
06.07.2019;7;15,9125;17;61
07.07.2019;7;14,4625;16;NULL
08.07.2019;7;16,0125;15;61
09.07.2019;7;16,625;13;20
10.07.2019;1;19,2125;11;NULL
11.07.2019;7;17,6125;6;53
12.07.2019;7;18,475;7;61
13.07.2019;7;19,9;12;20
14.07.2019;8;15,3625;9;20
15.07.2019;7;15,5875;16;NULL
16.07.2019;5;19,1125;14;0
17.07.2019;4;17,5375;6;0
18.07.2019;6;21,25;8;0
19.07.2019;6;21,0875;11;21
20.07.2019;7;24,35;14;95
21.07.2019;8;18,9;16;21
22.07.2019;7;16,6375;5;61
23.07.2019;0;26,1;9;0
24.07.2019;0;27,6875;10;0
25.07.2019;6;29,725;11;NULL
26.07.2019;0;26,925;14;5
27.07.2019;4;23,5375;21;5
28.07.2019;3;23,35;14;5
29.07.2019;6;25,25;7;61
30.07.2019;7;20,7375;8;61
31.07.2019;6;20,45;7;61
01.08.2019;5;21,0625;9;61
02.08.2019;7;20,25;9;0
03.08.2019;2;22,2;8;21
04.08.2019;6;20,35;9;NULL
05.08.2019;6;20,4125;8;61
06.08.2019;7;22,375;10;21
07.08.2019;5;20,975;14;95
08.08.2019;5;19,8125;16;61
09.08.2019;6;20,7125;5;21
10.08.2019;5;21,8;11;61
11.08.2019;3;21,3;12;NULL
12.08.2019;4;20,825;10;21
13.08.2019;5;14,8;9;61
14.08.2019;2;17,9125;14;21
15.08.2019;7;16,6375;8;61
16.08.2019;6;19,05;12;61
17.08.2019;7;18,5;9;61
18.08.2019;7;16,5;5;61
19.08.2019;6;18,5875;10;61
20.08.2019;4;19,5625;10;NULL
21.08.2019;4;18,3875;8;21
22.08.2019;2;23,375;9;NULL
23.08.2019;5;22,875;9;NULL
24.08.2019;0;23,725;12;0
25.08.2019;0;25,7;10;NULL
26.08.2019;1;28,075;9;NULL
27.08.2019;1;24,8375;11;NULL
28.08.2019;2;29,4125;6;NULL
29.08.2019;4;22,2625;12;21
30.08.2019;6;22,925;7;NULL
31.08.2019;0;27,3125;8;0
01.09.2019;7;18,5125;15;61
02.09.2019;3;16,5;13;61
03.09.2019;5;17,4;15;61
04.09.2019;6;18,6625;9;61
05.09.2019;3;15,125;18;61
06.09.2019;6;15,475;9;0
07.09.2019;6;16;8;61
08.09.2019;2;16,8125;7;0
09.09.2019;7;15,8375;9;61
10.09.2019;7;15,8625;14;61
11.09.2019;7;17,4625;12;61
12.09.2019;6;17,825;12;0
13.09.2019;5;16,975;15;5
14.09.2019;5;16,5875;10;0
15.09.2019;6;15,9625;15;61
16.09.2019;5;15;15;0
17.09.2019;4;11,9875;22;61
18.09.2019;6;13,285714;16;21
19.09.2019;5;14,075;12;NULL
20.09.2019;7;15,7;13;20
21.09.2019;3;18,3;9;0
22.09.2019;0;20,4875;9;NULL
23.09.2019;6;18,5875;13;0
24.09.2019;6;16,65;6;10
25.09.2019;7;15,65;4;61
26.09.2019;7;14,875;7;45
27.09.2019;5;16,225;12;21
28.09.2019;7;16,6625;14;61
29.09.2019;7;13,3625;10;63
30.09.2019;5;13,975;23;61
01.10.2019;7;10,275;9;63
02.10.2019;5;11,5375;12;61
03.10.2019;6;11,125;9;20
04.10.2019;7;10,0375;9;61
05.10.2019;7;9,65;15;61
06.10.2019;5;10,075;10;NULL
07.10.2019;6;9,8125;8;0
08.10.2019;7;13,475;12;61
09.10.2019;7;12,8375;10;21
10.10.2019;7;12,0375;14;61
11.10.2019;7;13,8625;17;63
12.10.2019;7;13,0625;12;20
13.10.2019;7;13,425;6;61
14.10.2019;7;14,5;9;0
15.10.2019;6;17,325;7;NULL
16.10.2019;8;13,525;11;61
17.10.2019;7;13,9625;13;61
18.10.2019;7;14,825;9;63
19.10.2019;8;13,475;11;61
20.10.2019;7;12,5;4;61
21.10.2019;8;12,7625;12;21
22.10.2019;7;12,9875;12;NULL
23.10.2019;7;12,5375;7;21
24.10.2019;8;13,15;11;10
25.10.2019;7;13,4625;15;53
26.10.2019;7;16,5375;16;20
27.10.2019;6;10,7125;19;63
28.10.2019;3;9,8125;9;21
29.10.2019;0;8,6625;10;0
30.10.2019;0;7,4125;3;0
31.10.2019;3;6,5375;5;0
01.11.2019;7;4,3625;12;61
02.11.2019;7;11,8;9;61
03.11.2019;7;11,375;6;61
04.11.2019;8;10,1625;8;63
05.11.2019;7;8,3;12;61
06.11.2019;7;6,375;5;61
07.11.2019;7;4,875;7;28
08.11.2019;2;7,3625;6;0
09.11.2019;7;7,3;5;10
10.11.2019;6;7,1125;8;0
11.11.2019;6;4,25;12;NULL
12.11.2019;7;6,875;15;61
13.11.2019;7;5,1875;10;NULL
14.11.2019;5;6,575;7;0
15.11.2019;8;6,4;16;NULL
16.11.2019;8;7,3125;15;63
17.11.2019;7;5,125;8;NULL
18.11.2019;8;8,6375;6;61
19.11.2019;7;8,175;14;61
20.11.2019;8;3,6;6;61
21.11.2019;7;6,75;9;61
22.11.2019;7;7,6125;9;10
23.11.2019;7;7,0375;16;10
24.11.2019;8;4,9875;13;10
25.11.2019;8;5,7625;9;10
26.11.2019;7;6,1625;7;10
27.11.2019;7;7,9125;9;61
28.11.2019;7;9,0625;13;61
29.11.2019;1;3,8875;17;21
30.11.2019;2;4,3125;9;NULL
01.12.2019;6;2,8375;5;21
02.12.2019;4;4,425;12;21
03.12.2019;7;6,5875;10;61
04.12.2019;8;5,9375;11;10
05.12.2019;4;4,975;14;10
06.12.2019;7;6,2875;14;61
07.12.2019;6;8,2125;14;21
08.12.2019;6;8,9;20;61
09.12.2019;7;6,775;14;61
10.12.2019;6;4,575;10;NULL
11.12.2019;8;5,25;10;21
12.12.2019;7;5,1375;9;61
13.12.2019;5;2,6375;11;NULL
14.12.2019;7;4,65;17;63
15.12.2019;6;7,15;28;21
16.12.2019;8;6,7875;11;NULL
17.12.2019;7;9,575;10;0
18.12.2019;5;6,9875;12;0
19.12.2019;3;8,225;10;0
20.12.2019;7;8,2375;10;0
21.12.2019;4;7,275;8;NULL
22.12.2019;7;4,2875;9;21
23.12.2019;7;7,6;12;61
24.12.2019;8;6,5125;10;61
25.12.2019;8;6,05;8;61
26.12.2019;7;5,65;7;61
27.12.2019;7;3,3125;11;22
28.12.2019;7;1,1625;7;NULL
29.12.2019;8;1,325;11;NULL
30.12.2019;2;7,05;16;NULL
31.12.2019;1;6,65;15;NULL
